cities,tourist places
Kanyakumari,Vivekananda Rock Memorial
Kanyakumari,Thiruvalluvar Statue
Kanyakumari,Kanyakumari Beach & Sunset View Point
Kanyakumari,Bhagavathi Amman Temple
Kanyakumari,Gandhi Memorial Mandapam
Kanyakumari,Padmanabhapuram Palace
Kanyakumari,Mathur Aqueduct
Kanyakumari,Vattakottai Fort
Kanyakumari,Triveni Sangam Kanyakumari
Ooty,Government Botanical Garden
Ooty,Ooty Lake & Boat House
Ooty,Doddabetta Peak
Ooty,Government Rose Garden
Ooty,Pykara Waterfalls
Ooty,Pykara Lake & Dam
Ooty,Nilgiri Mountain Railway (Toy Train)
Ooty,Avalanche Lake
Ooty,Ooty Tea Factory & Tea Museum
Ooty,St. Stephen's Church Ooty
Ooty,Mudumalai National Park
Munnar,Eravikulam National Park (Nilgiri Tahr)
Munnar,Mattupetty Dam & Lake
Munnar,KDHP Tea Museum Munnar
Munnar,Attukad Waterfalls
Munnar,Pothamedu View Point
Munnar,Anamudi Peak
Munnar,Kundala Lake & Arch Dam
Munnar,Blossom Hydel Park
Munnar,Echo Point Munnar
Munnar,Chinnar Wildlife Sanctuary
Chennai,Marina Beach Promenade
Chennai,Kapaleeshwarar Temple Mylapore
Chennai,Government Museum & Art Gallery Egmore
Chennai,San Thome Cathedral Basilica
Chennai,Fort St. George & Museum
Chennai,Guindy National Park
Chennai,Valluvar Kottam
Chennai,Edward Elliot's Beach Besant Nagar
Chennai,DakshinaChitra Living Heritage Museum
Coimbatore,Isha Yoga Center & Adiyogi Shiva Statue
Coimbatore,Marudhamalai Murugan Temple
Coimbatore,Siruvani Waterfalls & Dam
Coimbatore,GD Naidu Museum & Science Centre
Coimbatore,Dhyanalinga Meditation Temple
Coimbatore,Eachanari Vinayagar Temple
Coimbatore,Perur Pateeswarar Temple
Coimbatore,Black Thunder Theme Park
Coimbatore,Kovai Kutralam Waterfalls
Coonoor,Sim's Park
Coonoor,Dolphin's Nose Coonoor
Coonoor,Lamb's Rock
Coonoor,Highfield Tea Factory
Coonoor,Laws Falls Coonoor
Coonoor,Catherine Falls View Point
Coonoor,Droog Fort Coonoor
Madurai,Meenakshi Sundareswarar Temple
Madurai,Thirumalai Nayakkar Mahal
Madurai,Gandhi Memorial Museum Madurai
Madurai,Alagar Kovil Temple
Madurai,Vandiyur Mariamman Teppakulam
Madurai,Koodal Azhagar Temple
Madurai,Thirupparankundram Murugan Temple
Madurai,Kazimar Big Mosque & Maqbara
Thanjavur,Brihadeeswara Temple (Big Temple)
Thanjavur,Thanjavur Maratha Palace & Art Gallery
Thanjavur,Saraswathi Mahal Library
Thanjavur,Schwartz Church
Thanjavur,Punnai Nallur Mariamman Temple
Thanjavur,Sangeetha Mahal
Tiruchirappalli,Rockfort Ucchi Pillayar Temple
Tiruchirappalli,Sri Ranganathaswamy Temple Srirangam
Tiruchirappalli,Jambukeswarar Temple Thiruvanaikaval
Tiruchirappalli,Kallanai Grand Anicut Dam
Tiruchirappalli,Mukkombu Upper Anicut
Tiruchirappalli,St. Joseph's Church Trichy
Salem,Yercaud Lake & Boathouse
Salem,Pagoda Point Yercaud
Salem,Lady's Seat Viewpoint
Salem,Shevaroy Temple Yercaud
Salem,Killiyur Waterfalls
Salem,Kurumbapatti Zoological Park
Salem,1008 Lingam Temple Salem
Tirunelveli,Courtallam Main Falls
Tirunelveli,Nellaiappar Temple
Tirunelveli,Five Falls Courtallam
Tirunelveli,Old Courtallam Falls
Tirunelveli,Manimuthar Waterfalls & Dam
Tirunelveli,Agasthiyar Falls Papanasam
Tirunelveli,Holy Trinity Cathedral Palayamkottai
Kodaikanal,Kodaikanal Lake & Boathouse
Kodaikanal,Coaker's Walk
Kodaikanal,Bryant Park
Kodaikanal,Pillar Rocks
Kodaikanal,Silver Cascade Falls
Kodaikanal,Bear Shola Falls
Kodaikanal,Dolphin's Nose Kodaikanal
Kodaikanal,Guna Caves (Devil's Kitchen)
Ramanathapuram,Ramanathaswamy Temple Rameswaram
Ramanathapuram,Dhanushkodi Beach & Ghost Town
Ramanathapuram,Agni Theertham Sea Ghat
Ramanathapuram,Pamban Sea Bridge
Ramanathapuram,Dr. APJ Abdul Kalam Memorial
Ramanathapuram,Kothandaramaswamy Temple
Vellore,Vellore Fort & Moat
Vellore,Sri Lakshmi Narayani Golden Temple Sripuram
Vellore,Jalakandeswarar Temple
Vellore,Government Museum Vellore
Vellore,Amirthi Zoological Park
Mahabalipuram,Shore Temple
Mahabalipuram,Pancha Rathas (Five Rathas)
Mahabalipuram,Arjuna's Penance (Descent of the Ganges)
Mahabalipuram,Krishna's Butter Ball
Mahabalipuram,Mahabalipuram Beach
Mahabalipuram,Mahishasuramardini Cave Temple
Erode,Bhavani Sangameswarar Temple (Triveni Sangam)
Erode,Kodiveri Dam & Waterfalls
Erode,Chennimalai Murugan Temple
